Region,Country
Valle Isarco,Italy
Valle d'Aosta,Italy
Valle d'Itria,Italy
Valle de Cauquenes,Chile
Valle de Guadalupe,Mexico
Valle de Parras,Mexico
Valle de la Orotava,Spain
Valle del Cinca,Spain
Vallee du Paradis,France
Valles de Sadacia,Spain
Valley de Calafia,Mexico
Valli Ossolane,Italy
Valli di Porto Pino,Italy
Valpaços,Portugal
Valpolicella,Italy
Valpolicella Classico,Italy
Valpolicella Ripasso,Italy
Valpolicella Ripasso Classico,Italy
Valpolicella Valpantena,Italy
Valtellina,Italy
Valtellina Superiore,Italy
Valtenesi,Italy
Vancouver Island,Canada
Var,France
Vaucluse,France
Vaud,Switzerland
Vayots Dzor,Armenia
Velke Krumvíř,Czech Republic
Velkopavlovicka,Czech Republic
Velletri,Italy
Velventos,Greece
Veneto,Italy
Venezia,Italy
Venezia Giulia,Italy
Ventoux,France
Ventura County,United States
Verdelho Madeira,Portugal
Verdicchio dei Castelli di Jesi,Italy
Verdicchio dei Castelli di Jesi Riserva,Italy
Verdicchio di Matelica,Italy
Verdicchio di Matelica Riserva,Italy
Verduno,Italy
Vermentino di Gallura,Italy
Vermentino di Sardegna,Italy
Vermont,United States
Vernaccia di Oristano,Italy
Vernaccia di San Gimignano,Italy
Verona,Italy
Vesuvio,Italy
Vetroz,Switzerland
Victoria,Australia
Vidigueira,Portugal
Vigneti delle Dolomiti,Italy
Villa de Leyva,Colombia
Villeneuve,Switzerland
Villette,Switzerland
Villány,Hungary
Vin Santo,Italy
Vin Santo del Chianti,Italy
Vin Santo del Chianti Classico,Italy
Vin Santo di Montepulciano,Italy
Vin de Corse,France
Vin de France,France
Vin de Pays,France
Vin de Savoie,France
Vinemount Ridge,Canada
Vinho Verde,Portugal
Vinho de Portugal,Portugal
Vino Nobile di Montepulciano,Italy
Vino d'Italia,Italy
Vino de España,Spain
Vins des Allobroges,France
Vinsobres,France
Viotia,Greece
Vipava,Slovenia
Virginia,United States
Viré-Clessé,France
Visperterminen,Switzerland
Vista Flores,Argentina
Vistalba,Argentina
Vittoria,Italy
Volnay,France
Volnay 1er Cru 'Carelle sous la Chapelle',France
Volnay 1er Cru 'Champans',France
Volnay 1er Cru 'Clos de la Barre',France
Volnay 1er Cru 'Clos de la Cave des Ducs',France
Volnay 1er Cru 'Clos des 60 Ouvrées',France
Volnay 1er Cru 'Clos des Chênes',France
Volnay 1er Cru 'Clos des Ducs',France
Volnay 1er Cru 'Clos du Verseuil',France
Volnay 1er Cru 'En Chevret',France
Volnay 1er Cru 'Fremiets',France
Volnay 1er Cru 'Le Ronceret',France
Volnay 1er Cru 'Les Angles',France
Volnay 1er Cru 'Les Brouillards',France
Volnay 1er Cru 'Les Caillerets',France
Volnay 1er Cru 'Robardelle',France
Volnay 1er Cru 'Santenots',France
Volnay 1er Cru 'Taille Pieds',France
Voor Paardeberg,South Africa
Vosne-Romanée,France
Vosne-Romanée 1er Cru 'Au Cros Parantoux',France
Vosne-Romanée 1er Cru 'Aux Brulées',France
Vosne-Romanée 1er Cru 'En Orveaux',France
Vosne-Romanée 1er Cru 'Les Beaux Monts',France
Vosne-Romanée 1er Cru 'Les Chaumes',France
Vosne-Romanée 1er Cru 'Les Gaudichots',France
Vosne-Romanée 1er Cru 'Les Petits Monts',France
Vosne-Romanée 1er Cru 'Les Rouges',France
Vosne-Romanée 1er Cru 'Les Suchots',France
Vosne-Romanée 1er Cru 'Malconsorts',France
Vougeot,France
Vougeot 1er Cru 'Les Crâs',France
Vouvray,France
Vrancea,Romania
Vully,Switzerland
Wachau,Austria
Wagram,Austria
Wahluke Slope,United States
Waiheke Island,New Zealand
Waipara,New Zealand
Wairarapa,New Zealand
Waitaki,New Zealand
Wales,United Kingdom
Walker Bay,South Africa
Walla Walla Valley,United States
Walla Walla Valley Oregon,United States
Wallonie,Belgium
Walporzheim,Germany
Washington,United States
Wehlen,Germany
Weinland,Austria
Weinviertel,Austria
Wellington,South Africa
Western Australia,Australia
Western Cape,South Africa
Western Victoria,Australia
Westschweiz,Switzerland
Wien,Austria
Wiener Gemischter Satz,Austria
Willamette Valley,United States
Willow Creek,United States
Wiltingen,Germany
Wintrich,Germany
Wisconsin,United States
Wognum,Netherlands
Worcester,South Africa
Wrattonbully,Australia
Wythe County,United States
Württemberg,Germany
Würzburg,Germany
Xinjiang,China
Yadkin County,United States
Yadkin Valley,United States
Yakima Valley,United States
Yamagata-Ken,Japan
Yamanashi-ken,Japan
Yamhill County,United States
Yarra Valley,Australia
Yecla,Spain
Yolo County,United States
Yorkville Highlands,United States
Yountville,United States
Yvorne,Switzerland
Zacatecas,Mexico
Zakarpattia (Закарпатська),Ukraine
Zakynthos,Greece
Zenatta,Morocco
Zitsa,Greece
Zug,Switzerland
Zurcher Weinland,Switzerland
Zurichsee,Switzerland
Zürich,Switzerland
d Minis,Romania
Échezeaux Grand Cru,France
Óbidos,Portugal
Ürzig,Germany
Štajerska,Slovenia
Šumadija-Great Morava,Serbia
